"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2013","Other pigs: under 20kg","Thousand","427.2"
"Farm Animals in December","2014","Total cattle","Thousand","6243.1"
"Farm Animals in December","2014","Cows","Thousand","2168.9"
"Farm Animals in December","2014","Dairy cows","Thousand","1127.7"
"Farm Animals in December","2014","Other cows","Thousand","1041.2"
"Farm Animals in December","2014","Bulls","Thousand","51.5"
"Farm Animals in December","2014","Cattle: 2 years and over","Thousand","498.9"
"Farm Animals in December","2014","Cattle male: 2 years and over","Thousand","194.4"
"Farm Animals in December","2014","Cattle female: 2 years and over","Thousand","304.5"
"Farm Animals in December","2014","Cattle: 1-2 years","Thousand","1638"
"Farm Animals in December","2014","Cattle male: 1-2 years","Thousand","745.3"
"Farm Animals in December","2014","Cattle female: 1-2 years","Thousand","892.7"
"Farm Animals in December","2014","Cattle: under 1 year","Thousand","1885.7"
"Farm Animals in December","2014","Cattle male: under 1 year","Thousand","901.1"
"Farm Animals in December","2014","Cattle female: under 1 year","Thousand","984.6"
"Farm Animals in December","2014","Total cattle: male","Thousand","1892.3"
"Farm Animals in December","2014","Total cattle: female","Thousand","4350.7"
"Farm Animals in December","2014","Total sheep","Thousand","3324.9"
"Farm Animals in December","2014","Breeding sheep","Thousand","2503.6"
"Farm Animals in December","2014","Ewes","Thousand","2430.2"
"Farm Animals in December","2014","Ewes: 2 years and over","Thousand","1980.1"
"Farm Animals in December","2014","Ewes: under 2 years","Thousand","450.1"
"Farm Animals in December","2014","Rams","Thousand","73.4"
"Farm Animals in December","2014","Other sheep","Thousand","821.3"
"Farm Animals in December","2014","Total pigs","Thousand","1505.7"
"Farm Animals in December","2014","Breeding pigs","Thousand","147"
"Farm Animals in December","2014","Gilts in pig","Thousand","19.5"
"Farm Animals in December","2014","Sows in pig","Thousand","82.5"
"Farm Animals in December","2014","Other sows for breeding","Thousand","28.3"
"Farm Animals in December","2014","Gilts not yet served","Thousand","15.2"
"Farm Animals in December","2014","Boars","Thousand","1.5"
"Farm Animals in December","2014","Other pigs","Thousand","1358.6"
"Farm Animals in December","2014","Other pigs: 20kg and under 50kg","Thousand","384.5"
"Farm Animals in December","2014","Other pigs: 50kg and under 80kg","Thousand","296.8"
"Farm Animals in December","2014","Other pigs: 80kg and over","Thousand","238.2"
"Farm Animals in December","2014","Other pigs: under 20kg","Thousand","439"
"Farm Animals in December","2015","Total cattle","Thousand","6422.2"
"Farm Animals in December","2015","Cows","Thousand","2293.1"
"Farm Animals in December","2015","Dairy cows","Thousand","1239.9"
"Farm Animals in December","2015","Other cows","Thousand","1053.2"
"Farm Animals in December","2015","Bulls","Thousand","52.7"
"Farm Animals in December","2015","Cattle: 2 years and over","Thousand","401.6"
"Farm Animals in December","2015","Cattle male: 2 years and over","Thousand","160.3"
"Farm Animals in December","2015","Cattle female: 2 years and over","Thousand","241.3"
"Farm Animals in December","2015","Cattle: 1-2 years","Thousand","1649.2"
"Farm Animals in December","2015","Cattle male: 1-2 years","Thousand","751.9"
"Farm Animals in December","2015","Cattle female: 1-2 years","Thousand","897.3"
"Farm Animals in December","2015","Cattle: under 1 year","Thousand","2025.7"
"Farm Animals in December","2015","Cattle male: under 1 year","Thousand","982"
"Farm Animals in December","2015","Cattle female: under 1 year","Thousand","1043.7"
"Farm Animals in December","2015","Total cattle: male","Thousand","1946.9"
"Farm Animals in December","2015","Total cattle: female","Thousand","4475.4"
"Farm Animals in December","2015","Total sheep","Thousand","3324.8"
"Farm Animals in December","2015","Breeding sheep","Thousand","2485.9"
"Farm Animals in December","2015","Ewes","Thousand","2412.3"
"Farm Animals in December","2015","Ewes: 2 years and over","Thousand","1946.4"
"Farm Animals in December","2015","Ewes: under 2 years","Thousand","465.9"
"Farm Animals in December","2015","Rams","Thousand","73.5"
"Farm Animals in December","2015","Other sheep","Thousand","839"
"Farm Animals in December","2015","Total pigs","Thousand","1474.5"
"Farm Animals in December","2015","Breeding pigs","Thousand","140.1"
"Farm Animals in December","2015","Gilts in pig","Thousand","19.9"
"Farm Animals in December","2015","Sows in pig","Thousand","78.4"
"Farm Animals in December","2015","Other sows for breeding","Thousand","26"
"Farm Animals in December","2015","Gilts not yet served","Thousand","14.6"
"Farm Animals in December","2015","Boars","Thousand","1.3"
"Farm Animals in December","2015","Other pigs","Thousand","1334.4"
"Farm Animals in December","2015","Other pigs: 20kg and under 50kg","Thousand","396.9"
"Farm Animals in December","2015","Other pigs: 50kg and under 80kg","Thousand","290.3"
"Farm Animals in December","2015","Other pigs: 80kg and over","Thousand","239.2"
"Farm Animals in December","2015","Other pigs: under 20kg","Thousand","408"
"Farm Animals in December","2016","Total cattle","Thousand","6613.4"
"Farm Animals in December","2016","Cows","Thousand","2337.3"
"Farm Animals in December","2016","Dairy cows","Thousand","1295.2"
"Farm Animals in December","2016","Other cows","Thousand","1042"
"Farm Animals in December","2016","Bulls","Thousand","53.6"
"Farm Animals in December","2016","Cattle: 2 years and over","Thousand","379"
"Farm Animals in December","2016","Cattle male: 2 years and over","Thousand","139.7"
"Farm Animals in December","2016","Cattle female: 2 years and over","Thousand","239.3"
"Farm Animals in December","2016","Cattle: 1-2 years","Thousand","1767.1"
"Farm Animals in December","2016","Cattle male: 1-2 years","Thousand","813.4"
"Farm Animals in December","2016","Cattle female: 1-2 years","Thousand","953.6"
"Farm Animals in December","2016","Cattle: under 1 year","Thousand","2076.5"
"Farm Animals in December","2016","Cattle male: under 1 year","Thousand","1011.3"
"Farm Animals in December","2016","Cattle female: under 1 year","Thousand","1065.3"
"Farm Animals in December","2016","Total cattle: male","Thousand","2018"
"Farm Animals in December","2016","Total cattle: female","Thousand","4595.5"
"Farm Animals in December","2016","Total sheep","Thousand","3438.2"
"Farm Animals in December","2016","Breeding sheep","Thousand","2479.7"
"Farm Animals in December","2016","Ewes","Thousand","2405.2"
"Farm Animals in December","2016","Ewes: 2 years and over","Thousand","1934.3"
"Farm Animals in December","2016","Ewes: under 2 years","Thousand","470.9"
"Farm Animals in December","2016","Rams","Thousand","74.6"
"Farm Animals in December","2016","Other sheep","Thousand","958.5"
"Farm Animals in December","2016","Total pigs","Thousand","1527.8"
"Farm Animals in December","2016","Breeding pigs","Thousand","146.6"
"Farm Animals in December","2016","Gilts in pig","Thousand","18.8"
"Farm Animals in December","2016","Sows in pig","Thousand","78.9"
"Farm Animals in December","2016","Other sows for breeding","Thousand","32"
"Farm Animals in December","2016","Gilts not yet served","Thousand","15.7"
"Farm Animals in December","2016","Boars","Thousand","1.2"
"Farm Animals in December","2016","Other pigs","Thousand","1381.2"
"Farm Animals in December","2016","Other pigs: 20kg and under 50kg","Thousand","409.9"
"Farm Animals in December","2016","Other pigs: 50kg and under 80kg","Thousand","285.5"
"Farm Animals in December","2016","Other pigs: 80kg and over","Thousand","259.6"
"Farm Animals in December","2016","Other pigs: under 20kg","Thousand","426.2"
"Farm Animals in December","2017","Total cattle","Thousand","6673.6"
"Farm Animals in December","2017","Cows","Thousand","2361.6"
"Farm Animals in December","2017","Dairy cows","Thousand","1343.3"
"Farm Animals in December","2017","Other cows","Thousand","1018.3"
"Farm Animals in December","2017","Bulls","Thousand","53.8"
"Farm Animals in December","2017","Cattle: 2 years and over","Thousand","390.8"
"Farm Animals in December","2017","Cattle male: 2 years and over","Thousand","143"
"Farm Animals in December","2017","Cattle female: 2 years and over","Thousand","247.9"
"Farm Animals in December","2017","Cattle: 1-2 years","Thousand","1780.8"
"Farm Animals in December","2017","Cattle male: 1-2 years","Thousand","811.8"
"Farm Animals in December","2017","Cattle female: 1-2 years","Thousand","969"
"Farm Animals in December","2017","Cattle: under 1 year","Thousand","2086.5"
"Farm Animals in December","2017","Cattle male: under 1 year","Thousand","1008.6"
"Farm Animals in December","2017","Cattle female: under 1 year","Thousand","1077.9"
"Farm Animals in December","2017","Total cattle: male","Thousand","2017.2"
"Farm Animals in December","2017","Total cattle: female","Thousand","4656.4"
"Farm Animals in December","2017","Total sheep","Thousand","3981.8"
"Farm Animals in December","2017","Breeding sheep","Thousand","2809"
"Farm Animals in December","2017","Ewes","Thousand","2723.3"
"Farm Animals in December","2017","Ewes: 2 years and over","Thousand","1995.1"
"Farm Animals in December","2017","Ewes: under 2 years","Thousand","728.2"
"Farm Animals in December","2017","Rams","Thousand","85.7"
"Farm Animals in December","2017","Other sheep","Thousand","1172.8"
"Farm Animals in December","2017","Total pigs","Thousand","1616.4"
"Farm Animals in December","2017","Breeding pigs","Thousand","150.2"
"Farm Animals in December","2017","Gilts in pig","Thousand","20.6"
"Farm Animals in December","2017","Sows in pig","Thousand","84.7"
"Farm Animals in December","2017","Other sows for breeding","Thousand","28.9"
"Farm Animals in December","2017","Gilts not yet served","Thousand","14.8"
"Farm Animals in December","2017","Boars","Thousand","1.2"
"Farm Animals in December","2017","Other pigs","Thousand","1466.2"
"Farm Animals in December","2017","Other pigs: 20kg and under 50kg","Thousand","417.2"
"Farm Animals in December","2017","Other pigs: 50kg and under 80kg","Thousand","322.6"
"Farm Animals in December","2017","Other pigs: 80kg and over","Thousand","276.5"
"Farm Animals in December","2017","Other pigs: under 20kg","Thousand","449.9"
"Farm Animals in December","2018","Total cattle","Thousand","6593.5"
"Farm Animals in December","2018","Cows","Thousand","2351.4"
"Farm Animals in December","2018","Dairy cows","Thousand","1369.1"
"Farm Animals in December","2018","Other cows","Thousand","982.3"
"Farm Animals in December","2018","Bulls","Thousand","53.4"
"Farm Animals in December","2018","Cattle: 2 years and over","Thousand","409.7"
"Farm Animals in December","2018","Cattle male: 2 years and over","Thousand","154.5"
"Farm Animals in December","2018","Cattle female: 2 years and over","Thousand","255.2"
"Farm Animals in December","2018","Cattle: 1-2 years","Thousand","1779.1"
"Farm Animals in December","2018","Cattle male: 1-2 years","Thousand","803"
"Farm Animals in December","2018","Cattle female: 1-2 years","Thousand","976.1"
"Farm Animals in December","2018","Cattle: under 1 year","Thousand","1999.9"
"Farm Animals in December","2018","Cattle male: under 1 year","Thousand","948.5"
"Farm Animals in December","2018","Cattle female: under 1 year","Thousand","1051.4"
"Farm Animals in December","2018","Total cattle: male","Thousand","1959.4"
"Farm Animals in December","2018","Total cattle: female","Thousand","4634.1"
"Farm Animals in December","2018","Total sheep","Thousand","3798.5"
"Farm Animals in December","2018","Breeding sheep","Thousand","2690"
"Farm Animals in December","2018","Ewes","Thousand","2608.1"
"Farm Animals in December","2018","Ewes: 2 years and over","Thousand","1980.3"
"Farm Animals in December","2018","Ewes: under 2 years","Thousand","627.9"
"Farm Animals in December","2018","Rams","Thousand","81.9"
"Farm Animals in December","2018","Other sheep","Thousand","1108.5"
"Farm Animals in December","2018","Total pigs","Thousand","1572.2"
"Farm Animals in December","2018","Breeding pigs","Thousand","143"
"Farm Animals in December","2018","Gilts in pig","Thousand","19.1"
"Farm Animals in December","2018","Sows in pig","Thousand","78"
"Farm Animals in December","2018","Other sows for breeding","Thousand","29.3"
"Farm Animals in December","2018","Gilts not yet served","Thousand","15.3"
"Farm Animals in December","2018","Boars","Thousand","1.2"
"Farm Animals in December","2018","Other pigs","Thousand","1429.2"
"Farm Animals in December","2018","Other pigs: 20kg and under 50kg","Thousand","417.3"
"Farm Animals in December","2018","Other pigs: 50kg and under 80kg","Thousand","315.9"
"Farm Animals in December","2018","Other pigs: 80kg and over","Thousand","259.1"
"Farm Animals in December","2018","Other pigs: under 20kg","Thousand","436.9"
"Farm Animals in December","2019","Total cattle","Thousand","6559.7"
"Farm Animals in December","2019","Cows","Thousand","2382.6"
"Farm Animals in December","2019","Dairy cows","Thousand","1425.8"
"Farm Animals in December","2019","Other cows","Thousand","956.9"
"Farm Animals in December","2019","Bulls","Thousand","52"
"Farm Animals in December","2019","Cattle: 2 years and over","Thousand","431.4"
"Farm Animals in December","2019","Cattle male: 2 years and over","Thousand","170.6"
"Farm Animals in December","2019","Cattle female: 2 years and over","Thousand","260.9"
"Farm Animals in December","2019","Cattle: 1-2 years","Thousand","1731.2"
"Farm Animals in December","2019","Cattle male: 1-2 years","Thousand","769.3"
"Farm Animals in December","2019","Cattle female: 1-2 years","Thousand","962"
"Farm Animals in December","2019","Cattle: under 1 year","Thousand","1962.4"
"Farm Animals in December","2019","Cattle male: under 1 year","Thousand","906.4"
"Farm Animals in December","2019","Cattle female: under 1 year","Thousand","1056"
"Farm Animals in December","2019","Total cattle: male","Thousand","1898.2"
"Farm Animals in December","2019","Total cattle: female","Thousand","4661.4"
"Farm Animals in December","2019","Total sheep","Thousand","3809.4"
"Farm Animals in December","2019","Breeding sheep","Thousand","2652.9"
"Farm Animals in December","2019","Ewes","Thousand","2570.9"
"Farm Animals in December","2019","Ewes: 2 years and over","Thousand","1974.1"
"Farm Animals in December","2019","Ewes: under 2 years","Thousand","596.8"
"Farm Animals in December","2019","Rams","Thousand","82.1"
"Farm Animals in December","2019","Other sheep","Thousand","1156.4"
"Farm Animals in December","2019","Total pigs","Thousand","1613.3"
"Farm Animals in December","2019","Breeding pigs","Thousand","145"
"Farm Animals in December","2019","Gilts in pig","Thousand","20.1"
"Farm Animals in December","2019","Sows in pig","Thousand","79.3"
"Farm Animals in December","2019","Other sows for breeding","Thousand","28.1"
"Farm Animals in December","2019","Gilts not yet served","Thousand","16.5"
"Farm Animals in December","2019","Boars","Thousand","1"
"Farm Animals in December","2019","Other pigs","Thousand","1468.3"
"Farm Animals in December","2019","Other pigs: 20kg and under 50kg","Thousand","417.8"
"Farm Animals in December","2019","Other pigs: 50kg and under 80kg","Thousand","310"
"Farm Animals in December","2019","Other pigs: 80kg and over","Thousand","288.9"
"Farm Animals in December","2019","Other pigs: under 20kg","Thousand","451.6"
"Farm Animals in December","2020","Total cattle","Thousand","6529.4"
"Farm Animals in December","2020","Cows","Thousand","2378.7"
"Farm Animals in December","2020","Dairy cows","Thousand","1456"
"Farm Animals in December","2020","Other cows","Thousand","922.7"
"Farm Animals in December","2020","Bulls","Thousand","49.7"
"Farm Animals in December","2020","Cattle: 2 years and over","Thousand","345.5"
"Farm Animals in December","2020","Cattle male: 2 years and over","Thousand","115.8"
"Farm Animals in December","2020","Cattle female: 2 years and over","Thousand","229.7"
"Farm Animals in December","2020","Cattle: 1-2 years","Thousand","1698.9"
"Farm Animals in December","2020","Cattle male: 1-2 years","Thousand","743"
"Farm Animals in December","2020","Cattle female: 1-2 years","Thousand","955.9"
"Farm Animals in December","2020","Cattle: under 1 year","Thousand","2056.6"
"Farm Animals in December","2020","Cattle male: under 1 year","Thousand","976.6"
"Farm Animals in December","2020","Cattle female: under 1 year","Thousand","1080"
"Farm Animals in December","2020","Total cattle: male","Thousand","1885.1"
"Farm Animals in December","2020","Total cattle: female","Thousand","4644.4"
"Farm Animals in December","2020","Total sheep","Thousand","3877.2"
"Farm Animals in December","2020","Breeding sheep","Thousand","2729.6"
"Farm Animals in December","2020","Ewes","Thousand","2642.5"
"Farm Animals in December","2020","Ewes: 2 years and over","Thousand","2041.1"
"Farm Animals in December","2020","Ewes: under 2 years","Thousand","601.4"
"Farm Animals in December","2020","Rams","Thousand","87.1"
"Farm Animals in December","2020","Other sheep","Thousand","1147.6"
"Farm Animals in December","2020","Total pigs","Thousand","1678.6"
"Farm Animals in December","2020","Breeding pigs","Thousand","147.8"
"Farm Animals in December","2020","Gilts in pig","Thousand","21.1"
"Farm Animals in December","2020","Sows in pig","Thousand","81.8"
"Farm Animals in December","2020","Other sows for breeding","Thousand","27.3"
"Farm Animals in December","2020","Gilts not yet served","Thousand","16.8"
"Farm Animals in December","2020","Boars","Thousand","0.9"
"Farm Animals in December","2020","Other pigs","Thousand","1530.7"
"Farm Animals in December","2020","Other pigs: 20kg and under 50kg","Thousand","436.3"
"Farm Animals in December","2020","Other pigs: 50kg and under 80kg","Thousand","340.8"
"Farm Animals in December","2020","Other pigs: 80kg and over","Thousand","326.7"
"Farm Animals in December","2020","Other pigs: under 20kg","Thousand","426.9"
"Farm Animals in December","2021","Total cattle","Thousand","6649.3"
"Farm Animals in December","2021","Cows","Thousand","2394.9"
"Farm Animals in December","2021","Dairy cows","Thousand","1505.3"
"Farm Animals in December","2021","Other cows","Thousand","889.7"
"Farm Animals in December","2021","Bulls","Thousand","48.2"
"Farm Animals in December","2021","Cattle: 2 years and over","Thousand","331.7"
"Farm Animals in December","2021","Cattle male: 2 years and over","Thousand","107.6"
"Farm Animals in December","2021","Cattle female: 2 years and over","Thousand","224.1"
"Farm Animals in December","2021","Cattle: 1-2 years","Thousand","1766.8"
"Farm Animals in December","2021","Cattle male: 1-2 years","Thousand","796.9"
"Farm Animals in December","2021","Cattle female: 1-2 years","Thousand","969.9"
"Farm Animals in December","2021","Cattle: under 1 year","Thousand","2107.7"
"Farm Animals in December","2021","Cattle male: under 1 year","Thousand","1004"
"Farm Animals in December","2021","Cattle female: under 1 year","Thousand","1103.7"
"Farm Animals in December","2021","Total cattle: male","Thousand","1956.7"
"Farm Animals in December","2021","Total cattle: female","Thousand","4692.6"
"Farm Animals in December","2021","Total sheep","Thousand","4026.4"
"Farm Animals in December","2021","Breeding sheep","Thousand","2785.6"
"Farm Animals in December","2021","Ewes","Thousand","2699.4"
"Farm Animals in December","2021","Ewes: 2 years and over","Thousand","2072"
"Farm Animals in December","2021","Ewes: under 2 years","Thousand","627.4"
"Farm Animals in December","2021","Rams","Thousand","86.2"
"Farm Animals in December","2021","Other sheep","Thousand","1240.8"
"Farm Animals in December","2021","Total pigs","Thousand","1713.6"
"Farm Animals in December","2021","Breeding pigs","Thousand","145.9"
"Farm Animals in December","2021","Gilts in pig","Thousand","21"
"Farm Animals in December","2021","Sows in pig","Thousand","79.9"
"Farm Animals in December","2021","Other sows for breeding","Thousand","27.3"
"Farm Animals in December","2021","Gilts not yet served","Thousand","16.7"
"Farm Animals in December","2021","Boars","Thousand","1"
"Farm Animals in December","2021","Other pigs","Thousand","1567.7"
"Farm Animals in December","2021","Other pigs: 20kg and under 50kg","Thousand","422.5"
"Farm Animals in December","2021","Other pigs: 50kg and under 80kg","Thousand","338.5"
"Farm Animals in December","2021","Other pigs: 80kg and over","Thousand","324.1"
"Farm Animals in December","2021","Other pigs: under 20kg","Thousand","482.6"
"Farm Animals in December","2022","Total cattle","Thousand","6551.8"
"Farm Animals in December","2022","Cows","Thousand","2372.1"
"Farm Animals in December","2022","Dairy cows","Thousand","1510.3"
"Farm Animals in December","2022","Other cows","Thousand","861.7"
"Farm Animals in December","2022","Bulls","Thousand","46.2"
"Farm Animals in December","2022","Cattle: 2 years and over","Thousand","336.8"
"Farm Animals in December","2022","Cattle male: 2 years and over","Thousand","121.1"
"Farm Animals in December","2022","Cattle female: 2 years and over","Thousand","215.7"
"Farm Animals in December","2022","Cattle: 1-2 years","Thousand","1801.2"
"Farm Animals in December","2022","Cattle male: 1-2 years","Thousand","805.9"
"Farm Animals in December","2022","Cattle female: 1-2 years","Thousand","995.4"
"Farm Animals in December","2022","Cattle: under 1 year","Thousand","1995.4"
"Farm Animals in December","2022","Cattle male: under 1 year","Thousand","922.3"
"Farm Animals in December","2022","Cattle female: under 1 year","Thousand","1073.1"
"Farm Animals in December","2022","Total cattle: male","Thousand","1895.6"
"Farm Animals in December","2022","Total cattle: female","Thousand","4656.2"
"Farm Animals in December","2022","Total sheep","Thousand","4018"
"Farm Animals in December","2022","Breeding sheep","Thousand","2752.3"
"Farm Animals in December","2022","Ewes","Thousand","2666.4"
"Farm Animals in December","2022","Ewes: 2 years and over","Thousand","2074.8"
"Farm Animals in December","2022","Ewes: under 2 years","Thousand","591.6"
"Farm Animals in December","2022","Rams","Thousand","85.9"
"Farm Animals in December","2022","Other sheep","Thousand","1265.7"
"Farm Animals in December","2022","Total pigs","Thousand","1570.4"
"Farm Animals in December","2022","Breeding pigs","Thousand","127.5"
"Farm Animals in December","2022","Gilts in pig","Thousand","15.8"
"Farm Animals in December","2022","Sows in pig","Thousand","72.4"
"Farm Animals in December","2022","Other sows for breeding","Thousand","24.6"
"Farm Animals in December","2022","Gilts not yet served","Thousand","13.8"
"Farm Animals in December","2022","Boars","Thousand","0.9"
"Farm Animals in December","2022","Other pigs","Thousand","1442.9"
"Farm Animals in December","2022","Other pigs: 20kg and under 50kg","Thousand","386.6"
"Farm Animals in December","2022","Other pigs: 50kg and under 80kg","Thousand","317.8"
"Farm Animals in December","2022","Other pigs: 80kg and over","Thousand","319.8"
"Farm Animals in December","2022","Other pigs: under 20kg","Thousand","418.8"
